name,priceReg,priceSale,ratingAvg,ratingCnt,category,keywords
Boys' long-sleeve shirt in indigo plaid,,,,,boys,
Boys' Secret Wash shirt in dark cove gingham,,,,,boys,
Boys' point-collar solid Ludlow shirt,,,3,5,boys,
Boys' short-sleeve shirt in Liberty_ Wiltshire print,,,,,boys,
Boys' mesh active short,$39.50 ,$24.50 ,,,boys,"Bright,Casual,Colorblock,Chic,Piping,Drawstring,Regular,Straight Silhouette,Above the Knee,Blue,Retro,Solid"
Boys' garment-dyed knit dock short,,,5,1,boys,
Boys' knit dock short,,,,,boys,
Boys' stretch dock short in lightweight chino,,,,,boys,
Boys' sweatshort in garment-dyed terry,,,5,2,boys,
Kids' short in towel terry,,,,,boys,
Boys' stretch pull-on short in lightweight cotton,,,5,3,boys,
Boys' Stanton short in cotton-linen,,,5,1,boys,
Boys' Stanton short in palm trees,,,,,boys,
Boys' Stanton short with anchor embroidery,,,,,boys,
Boys' Stanton short with shark critters,,,5,2,boys,
Boys' stretch Stanton short in camo twill,,,,,boys,
Boys' Stanton short in seersucker,,,,,boys,
Boys' stretch Stanton short in chino,,,4,24,boys,
Boys' Ludlow suit jacket in seersucker,,,5,4,boys,
Boys' Ludlow two-button blazer in navy wool,,,4,4,boys,
Boys' Ludlow blazer in velvet,,,5,9,boys,
Boys' Ludlow suit vest in Italian wool,,,,,boys,
Boys' slim Ludlow tuxedo pant in Italian wool,$168.00 ,,5,1,boys,"Slim,Wool,Trouser,Formal,Belted,Classic & Minimalist,Black,Full,Solid,Soft Wool,Stiff Heavy,Straight,Neutral,Dark"
Boys' Ludlow suit pant in seersucker,$89.50 ,,,,boys,"Trouser,Casual,Stripes,Seersucker,Cotton,Straight,Multi Color"
Kids' Childrenchic_ for crewcuts suede penny loafers,,,5,1,boys,
Boys' Ludlow suit pant in Italian stretch chino,,,,,boys,
